"id";"developername";"label"
1;"codeEditors";"Editor de codigo"
2;"buildTools";"Herramienta de construccion"
3;"agilesTools";"Herramientas de gestión de proyectos ágiles"
4;"unitTestingTool";"Herramientas de pruebas unitarias"
5;"functinalTestingTool";"Herramientas de pruebas funcionales"
6;"versionControl";"Herramientas de gestión de versiones"
7;"integrationControl";"Servidores de integración continua"
8;"repositorySharing";"Gestores de repositorios compartidos"
9;"virtualTools";"Herramientas de virtualización"
10;"analysisCodeTools";"Herramientas de análisis de código fuente"
